Id;u_min;u_max;u_mean;sentiment;Cat;Label
p0;1;1;1.0;;pid;p0
p1;4;4;4.0;;pid;p1
p10;13;13;13.0;;pid;p10
p100;6;6;6.0;;pid;p100
p1000;2;2;2.0;;pid;p1000
p1001;6;6;6.0;;pid;p1001
p1002;9;9;9.0;;pid;p1002
p1003;29;29;29.0;;pid;p1003
p1004;3;16;11.67;;pid;p1004
p1005;3;31;17.0;;pid;p1005
p1006;-2;7;2.5;;pid;p1006
p1007;2;6;4.33;;pid;p1007
p1008;21;80;55.0;;pid;p1008
p1009;12;12;12.0;;pid;p1009
p101;19;19;19.0;;pid;p101
p1010;29;29;29.0;;pid;p1010
p1011;3;26;10.0;;pid;p1011
p1012;18;18;18.0;;pid;p1012
p1013;1;1;1.0;0.0;pid;p1013
p1014;1;11;6.0;0.0;pid;p1014
p1015;3;3;3.0;1.0;pid;p1015
p1016;5;5;5.0;1.0;pid;p1016
p1017;3;14;9.0;1.0;pid;p1017
p1018;5;14;9.5;1.0;pid;p1018
p1019;5;5;5.0;0.0;pid;p1019
p102;14;14;14.0;0.0;pid;p102
p1020;4;4;4.0;;pid;p1020
p1021;1;1;1.0;1.0;pid;p1021
p1022;3;3;3.0;0.0;pid;p1022
p1023;1;1;1.0;0.0;pid;p1023
p1024;2;2;2.0;1.0;pid;p1024
p1025;4;9;6.5;;pid;p1025
p1026;5;5;5.0;;pid;p1026
p1027;1;1;1.0;;pid;p1027
p1028;3;3;3.0;;pid;p1028
p1029;2;2;2.0;0.0;pid;p1029
p103;1;3;2.0;0.0;pid;p103
p1030;1;1;1.0;;pid;p1030
p1031;3;3;3.0;2.0;pid;p1031
p1032;1;1;1.0;1.0;pid;p1032
p1033;1;1;1.0;;pid;p1033
p1034;2;2;2.0;;pid;p1034
p1035;1;1;1.0;;pid;p1035
p1036;1;1;1.0;0.0;pid;p1036
p1037;2;2;2.0;1.0;pid;p1037
p1038;10;10;10.0;;pid;p1038
p1039;0;16;8.0;;pid;p1039
p104;-4;-4;-4.0;;pid;p104
p1040;12;12;12.0;;pid;p1040
p1041;4;4;4.0;;pid;p1041
p1042;3;13;9.5;2.0;pid;p1042
p1043;4;4;4.0;1.0;pid;p1043
p1044;3;3;3.0;0.0;pid;p1044
p1045;1;12;6.5;2.0;pid;p1045
p1046;3;3;3.0;1.0;pid;p1046
p1047;1;12;6.5;1.0;pid;p1047
p1048;6;6;6.0;;pid;p1048
p1049;-6;3;-1.5;;pid;p1049
p105;5;7;6.0;2.0;pid;p105
p1050;2;2;2.0;;pid;p1050
p1051;-2;-2;-2.0;1.0;pid;p1051
p1052;19;19;19.0;;pid;p1052
p1053;15;15;15.0;2.0;pid;p1053
p1054;17;17;17.0;1.0;pid;p1054
p1055;2;2;2.0;0.0;pid;p1055
p1056;5;5;5.0;1.0;pid;p1056
p1057;1;6;3.0;0.0;pid;p1057
p1058;1;1;1.0;1.0;pid;p1058
p1059;2;2;2.0;1.0;pid;p1059
p106;1;1;1.0;1.0;pid;p106
p1060;1;1;1.0;0.0;pid;p1060
p1061;1;1;1.0;0.0;pid;p1061
p1062;3;3;3.0;1.0;pid;p1062
